"login_name_raw","login_name_norm","user_name","department_name","major_name","class_name","student_id","match_type","match_confidence","evidence_fields","source_tables"
"pjvyzvfj974","pjvyzvfj974","","","","","pjvyzvfj974","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjvyzvfj977","pjvyzvfj977","","","","","pjvyzvfj977","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjvyzvfj989","pjvyzvfj989","","","","","pjvyzvfj989","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjvyzvfj994","pjvyzvfj994","","","","","pjvyzvfj994","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjvyzvfj998","pjvyzvfj998","","","","","pjvyzvfj998","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjvyzxbj993","pjvyzxbj993","","","","","pjvyzxbj993","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjvyzxbj995","pjvyzxbj995","","","","","pjvyzxbj995","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjvyzxbj998","pjvyzxbj998","","","","","pjvyzxbj998","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwqzwbj998","pjwqzwbj998","","","","","pjwqzwbj998","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwrqxbj882","pjwrqxbj882","","","","","pjwrqxbj882","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwrqxbj884","pjwrqxbj884","","","","","pjwrqxbj884","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwrqxbj890","pjwrqxbj890","","","","","pjwrqxbj890","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwrqxbj898","pjwrqxbj898","","","","","pjwrqxbj898","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwrqxbj901","pjwrqxbj901","","","","","pjwrqxbj901","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwrqxbj905","pjwrqxbj905","","","","","pjwrqxbj905","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwrqxbj911","pjwrqxbj911","","","","","pjwrqxbj911","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwrqxbj913","pjwrqxbj913","","","","","pjwrqxbj913","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwrqxbj916","pjwrqxbj916","","","","","pjwrqxbj916","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwrqxbj918","pjwrqxbj918","","","","","pjwrqxbj918","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwrqxbj919","pjwrqxbj919","","","","","pjwrqxbj919","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
"pjwrqxbj920","pjwrqxbj920","","","","","pjwrqxbj920","exact_login_alias","high","login_name = student_id","线上学习（综合表现）.xlsx"
