"source_table","source_field","source_value_raw","source_value_norm","student_id","match_type","match_confidence","evidence_fields"
"毕业去向.xlsx","SID","200307700011","200307700011","200307700011","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjvyzvfj974","pjvyzvfj974","pjvyzvfj974","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjvyzvfj977","pjvyzvfj977","pjvyzvfj977","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjvyzvfj989","pjvyzvfj989","pjvyzvfj989","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjvyzvfj994","pjvyzvfj994","pjvyzvfj994","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjvyzvfj998","pjvyzvfj998","pjvyzvfj998","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjvyzxbj993","pjvyzxbj993","pjvyzxbj993","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjvyzxbj995","pjvyzxbj995","pjvyzxbj995","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjvyzxbj997","pjvyzxbj997","pjvyzxbj997","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjvyzxbj998","pjvyzxbj998","pjvyzxbj998","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwqzwbj998","pjwqzwbj998","pjwqzwbj998","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj882","pjwrqxbj882","pjwrqxbj882","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj884","pjwrqxbj884","pjwrqxbj884","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj890","pjwrqxbj890","pjwrqxbj890","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj898","pjwrqxbj898","pjwrqxbj898","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj901","pjwrqxbj901","pjwrqxbj901","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj905","pjwrqxbj905","pjwrqxbj905","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj911","pjwrqxbj911","pjwrqxbj911","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj913","pjwrqxbj913","pjwrqxbj913","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj916","pjwrqxbj916","pjwrqxbj916","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj918","pjwrqxbj918","pjwrqxbj918","exact","high","identity:SID -> student_id"
