"source_table","source_field","match_type","row_count"
"毕业去向.xlsx","SID","exact","2500"
"奖学金获奖.xlsx","XSBH","exact","2500"
"考勤汇总.xlsx","XH","exact","2500"
"日常锻炼.xlsx","XH","exact","2500"
"上网统计.xlsx","XSBH","exact","2500"
"社团活动.xlsx","XSBH","exact","2500"
"体测数据.xlsx","XH","exact","2500"
"体育课.xlsx","XH","exact","2500"
"线上学习（综合表现）.xlsx","LOGIN_NAME","exact_login_alias","2498"
"学籍异动.xlsx","XH","exact","2500"
"学科竞赛.xlsx","XHHGH","filtered_exact","786"
"学生成绩.xlsx","XH","exact","2500"
"学生基本信息.xlsx","XH","exact","2500"
"学生体能考核.xlsx","XH","exact","2500"
"学生选课信息.xlsx","XH","exact","2500"
