"student_id","XB","NJ","XSM","ZYM","YX","ZY","BJ"
"200307700011","女","2020级","计算机科学与技术学院","数据科学与大数据技术","计算机科学与技术学院","数据科学与大数据技术","2003071"
"pjvyzvfj974","男","2020级","人工智能学院","人工智能（第二学士学位）","人工智能学院","人工智能（第二学士学位）","22020031"
"pjvyzvfj977","男","2020级","人工智能学院","人工智能（第二学士学位）","人工智能学院","人工智能（第二学士学位）","22020031"
"pjvyzvfj989","男","2020级","人工智能学院","人工智能（第二学士学位）","人工智能学院","人工智能（第二学士学位）","22020031"
"pjvyzvfj994","女","2020级","人工智能学院","人工智能（第二学士学位）","人工智能学院","人工智能（第二学士学位）","22020031"
"pjvyzvfj998","男","2020级","人工智能学院","人工智能（第二学士学位）","人工智能学院","人工智能（第二学士学位）","22020031"
"pjvyzxbj993","女","2020级","人工智能学院","智能科学与技术","人工智能学院","智能科学与技术","2020012"
"pjvyzxbj995","女","2020级","人工智能学院","智能科学与技术","人工智能学院","智能科学与技术","2020012"
"pjvyzxbj997","女","2020级","人工智能学院","智能科学与技术","人工智能学院","智能科学与技术","2020011"
"pjvyzxbj998","男","2021级","人工智能学院","智能科学与技术","人工智能学院","智能科学与技术","2120011"
"pjwqzwbj998","女","2020级","网络与信息安全学院","网络工程","网络与信息安全学院","网络工程","2018021"
"pjwrqxbj882","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017012"
"pjwrqxbj884","男","2020级","物理学院","应用物理学","物理学院","应用物理学","2005049"
"pjwrqxbj890","男","2020级","光电工程学院","电子科学与技术","光电工程学院","电子科学与技术","2005011"
"pjwrqxbj898","男","2020级","先进材料与纳米科技学院","纳米材料与技术","先进材料与纳米科技学院","纳米材料与技术","2017031"
"pjwrqxbj901","男","2021级","先进材料与纳米科技学院","应用化学","先进材料与纳米科技学院","应用化学","2117021"
"pjwrqxbj905","男","2021级","先进材料与纳米科技学院","应用化学","先进材料与纳米科技学院","应用化学","2117021"
"pjwrqxbj911","男","2020级","先进材料与纳米科技学院","纳米材料与技术","先进材料与纳米科技学院","纳米材料与技术","2017031"
"pjwrqxbj913","男","2020级","先进材料与纳米科技学院","应用化学","先进材料与纳米科技学院","应用化学","2017021"
